,emp_id,first_name,last_name,birth_date,hire_date,department,job_description,salary,company_car
0,DB-99087,Daniel,Friedman,1964-04-17,2017-02-06,Wilkinson and Sons,Accountant,14605,Yes
1,VF-94740,Rebecca,Lee,1971-11-07,2017-07-31,Brown Group,Software Engineer,16453,Yes
2,NZ-17296,Angela,Smith,1986-11-03,2015-02-23,Thompson and Sons,Customer Service Representative,11281,Yes
3,WR-52961,Brett,Taylor,1992-03-01,2023-06-15,"Lee, Johnson and Barnes",Data Analyst,10522,No
4,MQ-86034,Rachel,Sloan,1980-02-05,2014-11-23,Gonzales-Perez,Marketing Specialist,9931,Yes
5,CE-81416,Hunter,Schultz,1958-02-02,2021-05-29,"Powers, Hatfield and Phillips",Product Manager,12258,No
6,JI-09905,Candice,Young,1995-03-27,2022-02-24,Hobbs PLC,Software Engineer,13739,No
7,JZ-49719,David,Soto,1971-04-22,2014-03-22,Robertson Inc,Human Resources Manager,11583,Yes
8,QW-51785,Sharon,King,1993-03-29,2016-04-23,Leach PLC,Software Engineer,10616,No
9,WD-67803,Victoria,Rodgers,1960-08-14,2018-08-31,Hoffman Inc,Data Analyst,12068,No
10,VE-44091,Debra,White,1966-11-11,2015-11-07,"King, Thomas and Reed",Accountant,15027,No
11,RF-02602,Randall,Thornton,1986-07-15,2017-01-06,"Morales, Elliott and Fitzpatrick",Human Resources Manager,15595,No
12,YT-40586,Elizabeth,Clark,1990-08-18,2018-08-05,Trevino-Beard,Software Engineer,10119,Yes
13,VQ-74866,David,Washington,1986-02-06,2013-12-30,Duran LLC,Human Resources Manager,14520,No
14,TV-50306,Nicole,Gibson,1991-07-23,2015-12-04,Goodwin-Underwood,Product Manager,10845,Yes
15,TC-15242,Anne,Walker,1982-09-10,2016-08-15,Blackburn Inc,Data Analyst,14686,Yes
16,XD-01595,Andrew,Thompson,1977-08-25,2016-06-18,Smith and Sons,Accountant,16646,No
17,ZK-31645,Allison,Chandler,1992-08-18,2019-09-10,Robinson-Hayes,Data Analyst,11215,Yes
18,ZZ-35637,Willie,Farmer,1965-08-01,2022-08-07,Curtis and Sons,Customer Service Representative,12734,Yes
19,AL-57654,Tina,Liu,2000-05-25,2016-02-17,Williams-Byrd,Accountant,16294,No
20,ZF-87810,Shari,Harris,1959-10-26,2016-10-02,Nguyen Ltd,Marketing Specialist,12721,Yes
21,AQ-08808,Tiffany,Thompson,1994-12-29,2019-09-17,Smith-Carter,Sales Representative,12963,No
22,VU-46543,Randy,Hudson,1994-02-22,2018-03-08,Castro-Franco,Software Engineer,15995,Yes
23,SM-17027,Kristin,Lewis,1985-07-28,2018-02-28,Parrish PLC,Product Manager,14087,Yes
24,HD-25048,Rachel,Osborne,1981-08-07,2020-10-19,"Bradford, Rodriguez and Bell",Customer Service Representative,12726,Yes
25,XM-78586,Megan,Thompson,1974-08-04,2015-11-21,Robbins Ltd,Software Engineer,15454,No
26,QU-62521,Mary,Farley,1985-09-24,2020-03-14,Mitchell Inc,Product Manager,13439,Yes
27,PT-89209,Tina,Jones,1984-11-12,2016-10-19,Brown Group,Marketing Specialist,12391,Yes
28,PH-21433,Joseph,Williams,1971-11-14,2020-04-13,Myers-Smith,Product Manager,13190,No
29,JE-08301,Todd,Hickman,1959-11-04,2015-06-09,Hall-Vasquez,Product Manager,16325,No
30,SA-49079,William,Rice,1977-12-29,2018-06-05,Schneider-Salas,Data Analyst,9772,No
31,YE-62027,Hannah,Dodson,1995-05-06,2019-05-15,Daniels Ltd,Product Manager,14766,Yes
32,UO-25936,Leslie,Clarke,1974-03-01,2014-03-04,Miller-Marsh,Accountant,14643,No
33,WQ-61496,Tommy,Huffman,1996-02-28,2016-03-26,Baker Group,Software Engineer,14880,Yes
34,JX-02832,Tracey,Brown,1990-02-26,2017-02-22,Palmer Group,Product Manager,10900,Yes
35,YJ-90717,Brittany,Estrada,1977-08-23,2014-07-31,Powell-Mccarthy,Software Engineer,11264,Yes
36,TP-39693,Michael,Mack,1991-08-13,2022-04-23,Moran Inc,Software Engineer,15900,No
37,IX-48476,Robert,Lewis,1978-10-13,2019-07-28,"Mitchell, Smith and White",Product Manager,11890,Yes
38,KT-04727,Timothy,Ritter,1963-07-25,2017-08-24,"Ellis, Francis and Greene",Sales Representative,9992,Yes
39,YB-50641,Luke,Sutton,1970-05-22,2022-08-07,White-Carlson,Human Resources Manager,9861,No
40,JM-17461,Stephanie,Williams,1997-06-03,2020-08-17,Duffy-Christian,Marketing Specialist,11982,No
41,BZ-41191,Jeremy,Taylor,1988-07-31,2015-11-04,Morton-Guerrero,Sales Representative,11848,Yes
42,TX-40953,Amy,Miller,1978-07-14,2022-07-31,Price Group,Customer Service Representative,15006,Yes
43,KP-29885,Kathy,Glass,1986-03-01,2020-03-09,Peterson Inc,Sales Representative,10284,Yes
44,ZA-81258,Renee,Anderson,1992-08-21,2016-09-05,"Snow, Sanchez and Morris",Data Analyst,14567,No
45,NF-86928,Jeremy,Velazquez,1961-07-20,2020-02-26,Rich-Townsend,Marketing Specialist,14618,No
46,PK-66967,Margaret,Phillips,1997-12-02,2019-11-26,Kim-Martin,Accountant,9621,Yes
47,BD-36597,Richard,Oliver,1995-12-31,2016-05-08,Blair-Flores,Data Analyst,9711,Yes
48,JS-70552,Katherine,Pace,1987-09-12,2016-12-07,"Bradley, Haynes and Frederick",Software Engineer,10362,No
49,GJ-89564,David,Holt,1961-12-30,2016-09-30,Gonzalez and Sons,Product Manager,11642,No
50,GE-43725,Jack,Davis,1998-06-30,2015-07-16,Cruz Group,Sales Representative,16712,No
51,AS-37603,Sherri,Franklin,1987-03-03,2013-12-08,"Hart, Moreno and White",Human Resources Manager,14464,No
52,PG-69678,Timothy,Bradshaw,1986-03-26,2022-05-16,Munoz PLC,Product Manager,12305,No
53,HJ-31406,Jason,Gibson,1986-12-29,2014-08-30,"Barber, Stevenson and Blackwell",Sales Representative,13546,No
54,GF-29721,Margaret,Cook,1993-09-22,2022-10-21,Arnold-Powers,Product Manager,15842,Yes
55,JF-29644,Wendy,Murray,1987-04-29,2020-10-17,Robertson Inc,Software Engineer,14960,No
56,DK-99266,Daniel,Burke,1993-06-20,2015-11-15,"Mitchell, Mitchell and Clark",Accountant,16234,No
57,EY-10967,Julia,Carpenter,1975-03-14,2023-02-25,"Stone, Thomas and Stephens",Marketing Specialist,14728,Yes
58,TD-50107,Richard,Hernandez,1984-10-30,2017-01-05,Choi-White,Sales Representative,15763,Yes
59,NQ-71876,Amy,Wright,1990-04-20,2022-04-05,"Munoz, Berg and Miller",Accountant,16419,Yes
60,GY-41010,Jonathan,Montes,1974-09-26,2020-12-17,Smith-Nichols,Customer Service Representative,13467,Yes
61,TN-14704,Richard,Rivera,1963-09-09,2018-01-17,Sanchez-Mayer,Product Manager,11230,No
62,AX-31078,Russell,Robertson,1960-02-16,2016-07-23,"Parsons, Nguyen and Costa",Sales Representative,15375,No
63,II-69867,Juan,Smith,1997-06-20,2021-07-12,"Brown, Thomas and Allen",Accountant,9858,No
64,CZ-62054,Erica,Oliver,1985-08-12,2021-10-01,Zavala-Morrow,Software Engineer,13843,Yes
65,FX-11510,Oscar,Cooper,1985-04-21,2022-12-28,"Holland, Adams and Wang",Marketing Specialist,12145,Yes
66,VV-79762,Jessica,Evans,1990-11-29,2022-06-06,"Burnett, Thomas and Collins",Product Manager,13656,Yes
67,BC-42522,Jacob,Adams,1977-12-08,2014-09-11,Mason Group,Product Manager,13298,No
68,DW-51073,Daniel,Hammond,1992-12-01,2015-12-08,"Cruz, Miller and Perry",Customer Service Representative,14278,Yes
69,RG-76135,Margaret,Moore,1981-12-31,2015-05-02,Lee-Lee,Accountant,12661,No
70,IU-27102,Miguel,Goodwin,1970-03-17,2015-12-06,Gillespie Inc,Accountant,14205,No
71,QB-50384,Kristina,Coleman,1988-12-09,2020-11-05,"Pena, Flores and Harvey",Data Analyst,11909,No
72,YU-13611,Donna,Mccall,1971-04-02,2013-12-02,"Larson, Anthony and Moon",Data Analyst,11845,Yes
73,NE-38779,Robert,Hughes,1977-03-10,2018-09-14,Anderson Group,Sales Representative,14310,Yes
74,GG-24410,Michael,Hall,1993-09-20,2016-11-04,Parks PLC,Marketing Specialist,15562,No
75,DO-13988,Michele,King,1977-01-27,2019-03-25,"Ponce, Johnston and Moore",Data Analyst,15159,No
76,EB-81176,Sandra,King,1997-01-31,2017-01-05,Medina Ltd,Product Manager,14448,Yes
77,SS-68343,Christopher,Brooks,1999-07-15,2014-02-13,"Ramirez, Johnson and Harris",Product Manager,10932,No
78,NK-59427,John,Ward,1979-01-24,2018-05-16,Mccarthy-Powell,Sales Representative,13744,No
79,RT-53186,Amy,King,1980-07-20,2022-02-24,Powell-Flores,Customer Service Representative,16543,Yes
80,AU-24342,Nicole,Mcdaniel,1960-08-01,2016-05-28,Williamson LLC,Data Analyst,12109,Yes
81,AV-91424,Tricia,Brown,1993-12-01,2015-03-27,Russo-Washington,Product Manager,12041,No
82,LO-15266,Kevin,Price,1969-08-23,2016-06-22,Mays-Johnson,Marketing Specialist,10260,No
83,BE-79174,Jerry,Warren,1995-07-22,2018-10-15,Padilla-Mccoy,Product Manager,12136,Yes
84,NM-14710,Leslie,Mata,1997-11-17,2015-02-05,"Gomez, Higgins and Perez",Marketing Specialist,10706,Yes
85,XV-28528,Kristin,Martinez,1962-03-18,2021-11-02,Gonzalez LLC,Product Manager,14776,Yes
86,PX-68069,Shannon,Walters,1992-07-01,2017-04-26,Thompson PLC,Data Analyst,11734,Yes
87,TM-51472,Christine,Abbott,1966-04-23,2018-09-22,Warner-Barrera,Marketing Specialist,12329,Yes
88,RA-40144,Jennifer,Ramirez,1988-02-14,2019-03-01,James Ltd,Marketing Specialist,14755,Yes
89,CV-09500,Kyle,Lopez,1974-11-27,2022-05-17,Stuart-Mcmillan,Product Manager,13235,No
90,QY-54707,Richard,Holland,1969-11-02,2017-10-18,Shaw Ltd,Sales Representative,10214,No
