,calling_code,phone_number,address,postal_code,city
0,052,0675581,74694 Perez Club,03298,New York City
1,053,5513379,094 Rodriguez Branch Suite 852,16912,New York City
2,054,6590862,307 Buck Branch Suite 041,56319,New York City
3,055,6890282,7951 Castro Pine,06958,New York City
4,056,2554195,443 King Oval,28007,Miami
5,057,5779637,6363 Lauren Island,44684,Houston
6,052,2491816,100 Brett Radial,52341,Atlanta
7,056,1841722,849 Adrian Creek Suite 815,73755,Houston
8,057,8014286,039 Jennifer Brook,81210,Houston
9,052,7110511,515 Mckay Rapids,02175,Detroit
10,055,1693319,3893 Whitney Lodge,63686,New York City
11,055,5050005,247 Harris Points,59886,Detroit
12,057,6243749,9726 Johnson Spur,72422,New York City
13,055,3817389,60949 Richardson Summit Apt. 745,23713,Houston
14,057,2652519,19633 Ryan Lake Apt. 361,30266,Philadelphia
15,057,9174251,9420 David Vista Suite 212,97462,Miami
16,052,1556970,41853 Vasquez Locks Apt. 612,30524,Houston
17,055,0153950,4874 Holt Brooks Suite 247,63521,Columbus
18,054,1965633,991 Baker Ford,61604,Houston
19,054,2609452,1174 Johnson Crescent,19855,Detroit
20,057,2467198,24890 James Hills Suite 400,68201,Philadelphia
21,055,5971255,60893 Lynn Plaza,72636,New York City
22,057,8007697,78473 Scott Camp,08095,Detroit
23,052,8400150,19622 Lutz Run,73154,Philadelphia
24,057,2704167,938 Caleb Drives Apt. 060,23686,Detroit
25,055,5060270,623 Smith Loop Apt. 839,05493,Charlotte
26,055,3693115,7845 Carson Coves Apt. 853,85117,Charlotte
27,057,2120952,381 Robert View,89239,Atlanta
28,054,9473898,139 Scott Trafficway Suite 694,16104,Miami
29,054,0935865,596 Mckinney Terrace Suite 583,96199,Philadelphia
30,057,1274304,55185 Lisa Mill Suite 653,46812,Atlanta
31,055,2710191,22838 Edwin Mission Suite 336,82634,Miami
32,055,5676651,04734 Louis Mill Suite 433,40624,New York City
33,057,7580845,147 Lamb Mill Suite 401,80250,Charlotte
34,052,8497732,5582 Michael Center Apt. 288,10633,Chicago
35,054,7145784,8832 Crawford Unions Apt. 716,73042,Los Angeles
36,054,8160353,90538 Howard Walk Apt. 144,08406,Chicago
37,052,0585389,3781 Rocha Keys Apt. 261,17115,Columbus
38,054,7892037,4163 Gray Port,86135,Chicago
39,055,4806397,587 Navarro Rest Apt. 684,52624,Miami
40,052,1805147,10154 Laura Loaf Suite 969,38467,Miami
41,057,4901844,795 Mark Brook,03823,Chicago
42,052,3169919,008 Carol Ports,67341,Charlotte
43,052,6815865,023 Kelly Rapid Suite 222,93998,Detroit
44,057,3368835,84151 White Center,21343,Los Angeles
45,055,9977613,22468 Robert Plains,12643,Philadelphia
46,052,8349727,139 Kristina Island Apt. 787,30879,Miami
47,057,8335304,334 Aguilar Mall,66135,Los Angeles
48,055,5093609,62476 Aaron Viaduct,17763,Detroit
49,057,8662281,3046 Perez Lock Apt. 800,52329,Columbus
50,056,8861804,6163 Daniel Rest Apt. 336,09177,Los Angeles
51,057,7258548,704 Woodard Underpass,60698,Miami
52,057,3267834,403 Andrea Parkways Apt. 913,86117,Detroit
53,057,5672272,24736 West Cape,11425,New York City
54,055,6153235,4457 Kimberly Greens Apt. 499,18794,Columbus
55,052,9125765,180 Wood Ridges Suite 902,63552,Miami
56,057,0880945,747 Laura Trail,54832,Los Angeles
57,055,3849087,0688 Taylor Trail Suite 431,87639,Los Angeles
58,057,8376581,5285 Rubio Wall,37215,Atlanta
59,054,3969295,31661 Kristina Isle,22972,Houston
60,055,3156360,98202 Jeffrey Tunnel,72271,Charlotte
61,055,8590442,859 Dickson Common,47058,Charlotte
62,055,3916972,5126 Judy Lane Apt. 798,35343,New York City
63,055,1913582,907 Gonzalez Street,98271,Chicago
64,057,1362068,623 Burke Inlet,53945,Chicago
65,052,4266127,4002 Chloe Crossing,04407,Atlanta
66,054,4711134,594 Tommy Street Suite 302,09276,New York City
67,057,3381509,3665 Catherine Creek,14274,Los Angeles
68,052,8359762,8140 Kelli Spring,91000,Chicago
69,057,7449241,6451 Timothy Dale Suite 064,31458,Houston
70,052,4871463,1072 Richard Springs,81014,Detroit
71,057,4757641,20049 Reed Villages Apt. 609,31748,Miami
72,052,4944273,23087 Robert Heights,08596,Philadelphia
73,052,4039109,7655 Jackson Islands,54224,Columbus
74,055,3337484,635 Dean Plains Apt. 016,96831,Atlanta
75,057,8447646,1607 Anthony Land Apt. 053,19548,Detroit
76,052,5683702,18315 Samantha Gateway Apt. 025,89987,Los Angeles
77,052,2356547,4800 Howard Parks Apt. 050,71849,Detroit
78,054,5915938,293 Debbie Trace Apt. 911,40460,Detroit
79,052,5739845,691 Amy Glens Apt. 492,81191,Detroit
80,057,5724436,02024 Lawrence Islands Apt. 016,50855,Charlotte
81,052,1873991,6117 Stephen Port Apt. 025,92221,Detroit
82,052,1310152,95958 Matthew Inlet,44169,Atlanta
